PORT_NAME,CNTR_CODE3,LONGITUDE,LATITUDE
WEIPA,AUS,141.866667,-12.666667
UNKNOWN_2178,AUS,141.86,-12.66
NEVELSK,RUS,141.8546753,46.66827393
KUJI,JPN,141.799679,40.19425
OFUNATO,JPN,141.7231,39.056234
WAKKANAI,JPN,141.683333,43.416667
RUMOI,JPN,141.6409,43.947334
RUMOI KO,JPN,141.6333333,43.95
TOMAKOMAI KO,JPN,141.633333,42.633333
TOMAKOMAI,JPN,141.6259,42.638934
PORTLAND,AUS,141.6,-38.333333
KESENNUMA KO,JPN,141.6,38.866667
KESENNUMA,JPN,141.58699,38.87326
HACHINOHE KO,JPN,141.55,40.533333
HACHINOHE,JPN,141.522656,40.544006
LAZAREV,RUS,141.5173,52.212234
AYUKAWA HARBOR,JPN,141.5040636,38.295
ONAGAWA HARBOR,JPN,141.4542403,38.44055556
ONAGAWA,JPN,141.4503,38.441334
OGINOHAMA HARBOR,JPN,141.443404,38.37583333
MUTSUOGAWARA,JPN,141.383057,40.928818
ISIKARI WAN,JPN,141.366667,43.233333
ISHINOMAKI,JPN,141.3175,38.412134
ISHINOMAKI KO,JPN,141.316667,38.4
VANIMO,PNG,141.3055,-2.693466
ISHIKARIWAN BAY NEW PORT,JPN,141.2866902,43.20305556
ISHIKARI BAY NEW PORT,JPN,141.2833333,43.21666667
OMINATO,JPN,141.1803,41.279934
OMINATO HARBOR,JPN,141.1400471,41.25027778
SENDAI-SHIOGAMA,JPN,141.033333,38.316667
SHIOGAMA,JPN,141.0319,38.321434
OTARU KO,JPN,141.0166667,43.2
OTARU,JPN,141.0087,43.199534
SENDAI,JPN,141.005573,38.274508
IWAKI HARBOR,JPN,140.9760306,37.00111111
MURORAN KO,JPN,140.966667,42.35
MURORAN,JPN,140.9647,42.335034
SOMA,JPN,140.9627,37.832134
ONAHAMA,JPN,140.9073,36.940934
ONAHAMA KO,JPN,140.9,36.933333
KARUMBA,AUS,140.833333,-17.483333
CHOSHI,JPN,140.8291,35.736534
KITAIBARAKI,JPN,140.783787,36.829142
DE KASTRI,RUS,140.783333,51.466667
DE-KASTRI,RUS,140.7808838,51.47009277
AOMORI,JPN,140.7665,40.831334
AOMORI KO,JPN,140.75,40.83333333
UNKNOWN_2371,RUS,140.7415161,53.13208008
UNKNOWN_2355,RUS,140.7415161,53.13208008
NIKOLAYEVSK NA AMUR,RUS,140.733333,53.133333
HAKODATE,JPN,140.7295,41.773934
HAKODATE KO,JPN,140.7166667,41.78333333
KASHIMA KO,JPN,140.7,35.933333
KASHIMA,JPN,140.699933,35.927749
JAYAPURA,IDN,140.6963,-2.61906613
HITACHI,JPN,140.6293,36.495734
HITACHINAKA,JPN,140.607491,36.423769
OARAI,JPN,140.569725,36.308071
MORI,JPN,140.5645,42.110434
IWANAI,JPN,140.5073,42.982934
MERAUKE,IDN,140.383333,-8.483333
BUKHTA VANINO,RUS,140.283333,49.083333
SOVETSKAYA GAVAN,RUS,140.2759,48.981034
VANINO,RUS,140.2673,49.083134
PORT OF MAGO,RUS,140.1700236,53.25694444
ESASI KO,JPN,140.116667,41.866667
CHIBA,JPN,140.092217,35.57636
AKITA,JPN,140.0817,39.728234
CHIBA KO,JPN,140.066667,35.583333
NOSHIRO,JPN,140.0395,40.209334
BEACHPORT,AUS,140.0071,-37.49386613
AKITA-FUNAKAWA KO,JPN,140,39.833333
NOSHIRO KO,JPN,140,40.216667
NOSHIRO HARBOR,JPN,139.9907538,40.20277778
KATSUNAN KO,JPN,139.983333,35.666667
FUNABASHI,JPN,139.975634,35.676976
KISARAZU,JPN,139.9205,35.386934
NIKAHO HARBOR,JPN,139.8916372,39.20805556
KISARAZU KO,JPN,139.883333,35.366667
TATEYAMA,JPN,139.8587,34.987534
FUNAKAWA,JPN,139.8571,39.875334
SAKATA,JPN,139.8349,38.912934
PORT OF HAMAKANAYA,JPN,139.8187868,35.16527778
SAKATA KO,JPN,139.816667,38.933333
TATEYAMA KO,JPN,139.8,35
KAWASAKI KO,JPN,139.766667,35.5
TOKYO,JPN,139.7653198,35.61828613
KAWASAKI,JPN,139.7601,35.530534
TOKYO KO,JPN,139.75,35.666667
PORT OF BURKETOWN,AUS,139.737927,-17.55361111
URAGA KO,JPN,139.716667,35.233333
YOKOHAMA KO,JPN,139.683333,35.466667
YOKOHAMA,JPN,139.673406,35.428041
YOKOSUKA KO,JPN,139.666667,35.283333
YOKOSUKA,JPN,139.6577,35.284334
MIKURAJIMA HARBOR,JPN,139.5870436,33.89638889
HIRATSUKA HARBOR,JPN,139.3671967,35.31694444
OSHIMA,JPN,139.3575,34.749834
OISO HARBOR,JPN,139.3177267,35.30611111
NIIJIMA HARBOR,JPN,139.2419906,34.37416667
EASTERN PART OF NIIGATA-KO,JPN,139.233333,38.016667
ATAMI HARBOR,JPN,139.0746172,35.09361111
NIIGATA,JPN,139.0647,37.926134
NIIGATA KO,JPN,139.05,37.916667
SHIMODA,JPN,138.9585,34.671834
SHIMODA KO,JPN,138.95,34.666667
NUMAZU,JPN,138.8685,35.085534
TERADOMARI HARBOR,JPN,138.7583039,37.64583333
TAGONOURA KO,JPN,138.7,35.13333333
TAGONOURA,JPN,138.6993,35.133534
RYOTU KO,JPN,138.566667,38.083333
RYOTSU,JPN,138.5613,38.087934
KASHIWAZAKI,JPN,138.539188,37.364867
KASHIWAZAKI HARBOR,JPN,138.5356302,37.36972222
SHIMIZU,JPN,138.5021,34.999834
PORT ADELAIDE,AUS,138.5,-34.85
SHIMIZU KO,JPN,138.5,35.01666667
SIMIZU KO,JPN,138.5,35.016667
ADELAIDE,AUS,138.4788818,-34.8861084
PORT STANVAC,AUS,138.4717,-35.10316613
UNKNOWN_2357,RUS,138.3450928,46.52911377
UNKNOWN_2369,RUS,138.3450928,46.52911377
YAIZU HARBOR,JPN,138.3262073,34.85916667
PORT  OF NAOETSU,JPN,138.2572438,37.19916667
NAOETSU KO,JPN,138.25,37.18333333
OMAEZAKI KO,JPN,138.233333,34.6
NAOETSU,JPN,138.2331,37.175134
OMAEZAKI,JPN,138.213072,34.62215
RAPID BAY,AUS,138.1957,-35.52366613
COLONIA,FSM,138.133333,9.516667
TOMIL,FSM,138.121111,9.513333
TOMIL HARBOUR,FSM,138.1194935,9.513333333
