PORT_NAME,CNTR_CODE3,LONGITUDE,LATITUDE,Port Name Lower,Main Port Name,Country Code,Latitude,Longitude,_merge,lon diff,lat diff,position diff,Country Code 3
SHANWEI,CHN,115.3479,22.76863387,shanwei,,,,,left_only,-1.3174000000000063,-0.5801000000000016,1.897500000000008,
SHAPINSAY,GBR,-2.85,59.05,shapinsay,,,,,left_only,-118.19789999999999,36.281366129999995,154.47926612999998,
SHARJAH,ARE,55.38844885,25.36710514,sharjah,,,,,left_only,58.238448850000005,-33.68289486,91.92134371,
SHARJAH OFFSHORE TERMINAL,ARE,55.4,25.583333,sharjah offshore terminal,Sharjah Offshore Terminal,United Arab Emirates,25.583333,55.4,both,0.011551149999995403,0.21622786000000005,0.22777900999999545,ARE
SHARM EL SHEIKH,EGY,34.283333,27.85,sharm el sheikh,Sharm El Sheikh,Egypt,27.85,34.283333,both,-21.116667,2.2666670000000018,23.383334,EGY
SHARMAH,SAU,35.25,27.933333,sharmah,Sharmah,Saudi Arabia,27.933333,35.25,both,0.966667000000001,0.08333299999999966,1.0500000000000007,SAU
SHARPNESS,GBR,-2.482727051,51.7175293,sharpness,Sharpness,United Kingdom,51.716667,-2.483333,both,-37.732727051,23.7841963,61.516923351,GBR
SHAWANO,USA,-89.4033,28.92823387,shawano,,,,,left_only,-86.920572949,-22.789295430000003,109.709868379,
SHEBOYGAN,USA,-87.7,43.75,sheboygan,Sheboygan,United States,43.75,-87.7,both,1.7032999999999987,14.82176613,16.52506613,USA
SHEDIAC,CAN,-61.4649,45.183434,shediac,,,,,left_only,26.235100000000003,1.4334339999999983,27.668534,
,CAN,-64.533333333,46.216666667,shediac harbor,Shediac Harbor,Canada,46.216666667,-64.533333333,right_only,-3.0684333330000015,1.033232667,4.101666000000002,CAN
SHEERNESS,GBR,0.746984549,51.44585412,sheerness,Sheerness,United Kingdom,51.45,0.75,both,65.280317882,5.2291874530000015,70.509505335,GBR
,CAN,-62.5,44.9,sheet harbor,Sheet Harbor,Canada,44.9,-62.5,right_only,-63.246984549,-6.545854120000001,69.79283866899999,CAN
SHEET HARBOUR,CAN,-62.5733,44.862634,sheet harbour,,,,,left_only,-0.07330000000000325,-0.03736599999999868,0.11066600000000193,
SHEGUIANDAH,CAN,-81.916667,45.9,sheguiandah,Sheguiandah,Canada,45.9,-81.916667,both,-19.343367,1.0373659999999987,20.380733,CAN
SHEKOU,CHN,113.866667,22.466667,shekou,Shekou,China,22.466667,113.866667,both,195.78333400000002,-23.433332999999998,219.21666700000003,CHN
SHELBURNE,CAN,-65.3193,43.749834,shelburne,,,,,left_only,-179.185967,21.283167,200.469134,
SHELL HAVEN,GBR,0.534075866,51.5166156,shell haven,,,,,left_only,65.850742533,7.7666156000000015,73.61735813300001,
SHELTON,USA,-123.0927,47.20723387,shelton,Shelton,United States,47.216667,-123.1,both,-123.62677586599999,-4.309381729999998,127.93615759599999,USA
SHENGJIN,ALB,19.6,41.816667,shengjin,Shengjin,Albania,41.816667,19.6,both,142.6927,-5.390566870000001,148.08326687,ALB
SHEPARD POINT,USA,-145.666667,60.633333,shepard point,Shepard Point,United States,60.633333,-145.666667,both,-165.26666699999998,18.816665999999998,184.08333299999998,USA
SHERBROOKE,CAN,-62.0,45.140734,sherbrooke,,,,,left_only,83.66666699999999,-15.492598999999998,99.15926599999999,
SHIBUSHI,JPN,131.1099,31.462934,shibushi,,,,,left_only,193.1099,-13.677800000000001,206.7877,
SHIKAMA,JPN,134.658483,34.780854,shikama,Shikama,Japan,34.766667,134.65,both,3.5584829999999954,3.314186999999997,6.872669999999992,JPN
SHIMABARA,JPN,130.3795,32.788834,shimabara,,,,,left_only,-4.278982999999982,-1.9920199999999966,6.271002999999979,
SHIMAMA HARBOR,JPN,130.8584806,30.46638889,shimama harbor,,,,,left_only,0.4856302000000028,-2.3119444400000013,2.797574640000004,
SHIMIZU,JPN,138.5021,34.999834,shimizu,,,,,left_only,7.643619400000006,4.533445109999999,12.177064510000005,
SHIMMINATO,JPN,137.116667,36.766667,shimminato,Shimminato,Japan,36.766667,137.116667,both,-1.3833329999999933,1.7500003299999989,3.133333329999992,JPN
SHIMODA,JPN,138.9585,34.671834,shimoda,,,,,left_only,1.8418329999999798,-2.0948330000000013,3.936665999999981,
SHIMONI,KEN,39.379787,-4.647791,shimoni,,,,,left_only,-99.570213,-39.314457999999995,138.884671,
SHIMONOSEKI,JPN,130.899385,33.931686,shimonoseki,Shimonoseki,Japan,33.933333,130.933333,both,91.519598,38.579477,130.099075,JPN
SHIMOTSU,JPN,135.140013,34.11835,shimotsu,,,,,left_only,4.240628000000015,0.18666400000000039,4.4272920000000155,
SHINARI ZAKYNTOU (SXINARI ZAKINTHOI),GRC,20.70648193,37.9083252,shinari zakyntou (sxinari zakinthoi),,,,,left_only,-114.43353107000002,3.7899752000000007,118.22350627000002,
SHINGU,JPN,136.0127,33.726034,shingu,Shingu,Japan,33.666667,135.983333,both,115.30621807,-4.182291200000002,119.48850927000001,JPN
SHIOGAMA,JPN,141.0319,38.321434,shiogama,,,,,left_only,5.019200000000012,4.595400000000005,9.614600000000017,
